country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,20800,2780,4580,210000,,,3240,,,1120
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,226,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,204,,,,,,365,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,732,,16300,,,,,,1010,,,1230,1060,135,459,,,374,,60000,18900,10200
Argentina,,,,,,,,,,,,,,,,,,,,,,,3950,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
Bahrain,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,10700,129,,,,176000,500,950,900,52200,602000,,20,,1610000,200,5700,,21600,10000,14400,185000,,26200,,50000,,86,,,285000,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,295,,605,,,,,,,,,,,
Benin,,,,,,,8,,,,,,,,,,,468,,2640,,,,,,,86,273,605,250,8110,10100,502,268,,210,,,1020
Bhutan,,,,,,,,,,,,,,,,288,,,,,,,494,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,164,,18000,,,,,,752,170,101,,,,,,,,229,204
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,14800,,,,,,,,,,,,,,,,,,22700,,
Brazil,,,,,31500,107,,,,,,,,,300,,34700,,170,,,15400,,,,113000,,25900,214000,238,,,318000,,,,,,163000
Burkina Faso,,,,,,,,,,1850,,11100,,,1000,,,,,,,37,,,,,45100,20300,467,,,23800,,8200,3310,615,8190,22300,2250
Burundi,,,,,,,,,1580,,,,,,,,,,,,,,2290,,,,,24400,,616000,731000,,2250,236,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,380000,,,,,230,15600,930,,,,,7,,4370,17200,
Cameroon,,,,,,,,,,,,,,,,,,,379,650,290,1650,8600,4580,,,3200,588,2320,119,87,573,,,2970,1440,79,,
Canada,,,,,,,,,,,,,,,,,,,,,,189,17,,,,,,,,,400,392,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,12600,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,474,,,,,,,100,3020,1820,733,402,,,,,
Chad,,9790,,,,,,,,,,,,,,,,,7230,,,13500,,,,,1410,3070,,,10900,3560,,142,3710,6120,236,,1780
Chile,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,1000,2000,,,1080,,,,,,,,,,,7020,,25,206,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,14500,,,,,3060,,,,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,453,,,,,,,,,3240,154,,,,,,2280,,1520,
"Congo, Dem. Rep.",,,,,,,507,,,,,,,,,,,498,,,,500,,,,233,2160,1460,14900,75,89,11900,542000,21200,46900,4970,3140,591,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,568,,114,24,32,143,31,,12,3080,,656
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,4790,,,,,,,,,,,,,
Cote d'Ivoire,1620,,,,,,,,,,,,,,,,,,,,,66,,,,2180,,,,,,3380,938,,,250,493,180,44
Cuba,,,,,,,,,,,,,,,,,,,,,,,,49400,,,,826,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,249,,,856,2040,,423,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,20,,,1250,,,,16,,,,,,,,,
Ecuador,,,,,,,,300,,,,,,,,,,,,,,15500,200,,,3400,,,24,,100000,,100,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,5780,350,,,9300,,,1670,,235,,2400,50300,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,,,,
Ethiopia,4500,,,,,,,,,,25200,51000,,,,5920,,,48700,,,,,,,,,,,285,7460,8600,12,,,1040,33200,,3150
France,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,7,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,132,,,,,,20,,60,,,,,60,,,101,,,17900,
Gambia,,,,,,,,,200,,,,,,,,,,,,,,,,,,,913,,,137,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,,,,,,
Ghana,,,,,,,,6560,,,,,,,1600,,,,153,19,,20,,,,,4170,185,1610,1220,,1150,,,,2290,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,200,27000,206,,,3400,,,1360,,,,2040,,,,,,
Guinea,,,,,,,,,,,,,,,,,,48,,,,,,,24300,,,,,135,512,155,146,67,1190,1960,427,2500,
Guinea-Bissau,,,,,,,,,,,,,,,,,,6070,,,,,,,8830,,27900,23100,,2570,,,,,202,25500,,,14200
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,16000,,,2470,,,,4540,,,,,,
India,,,,,,,,9090,3210,215,1040,,118,,31500,8440,11900,90,3910,200,18200,185,,,5200,,8780,970,16000,79800,2090,59000,5330,2180,,156000,,,
Indonesia,,,,,,,,30100,163,,,,239,120,4100,,501000,,,,50,15300,,,,,5490,197,34100,4700,1740,,776,,59100,329,,35600,
Iran,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,
Iraq,,,,,,,,,52,,,,,,,,,,,,,,,,,,,185,,,,,,,2,,,4720,903
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,,1,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,283,,
Japan,,,,,,,,75,2000000,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,
Jordan,,,,,,,,,,,,719,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,166,114,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,226,,,6500000,,,34300,1050,331000,771,783,,,149,1700,771,,43
Kiribati,,,,,,,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,458,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,2060,,,,,143,,8500,278,,,,,9730,,,,2,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,
Lesotho,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,1890,1860,,,,,,,,
Liberia,,,,,,,,,,,2350,,,,,,,,,,,,,,,368,56,,572,39,125,,661,19400,,703,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19200,,,22600,,,,,,540
Malawi,,,,,,,,,,,,,,,,,,,,479,,,,,,,,632,,,3410,41400,989,,,,872,,
Malaysia,,,,,,,,50,,,,,,,,,,,,,,4010,,,,,5420,21800,265,,992,,5,,,,,56,
Maldives,,,,,,,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,110,,4560,,,5520,,,507,206,,,,,,,,2550,10800,,,,,315,1320,,211,160,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,
Mauritania,,,,,,,,,,,,,17,,,,,213,613,,,,,,,,46,,350,,,,,,,2640,,,
Mauritius,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,2550,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,5050,,,,6540,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,9,,,,,,3150
Mozambique,,,,,,,,,,,210,,,5870,,,,,,,4690,,226000,,,,,27800,2810,,18600,618,2040,24300,,,5720,7620,373
Myanmar,,,,,,,,,,,,,,810,,,,,,,,,,,,,,,,,,,,,,,,30,
Namibia,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,72,12200,,,,,57,257,
Nepal,,,,,,,,,,,,,1480,,,,,,,,3950,46700,50600,,,898,815,1450,485,1090,911,268,32,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,383,,,,13400,,,3360,,,,,,,,,,
Niger,3000,,,,,,,,,,,,,,,,,,,1970,,93000,,,,66700,11400,2420,,790,1340,48600,3620,2060,20300,431,846,,2980
Nigeria,,,,,,,,,,,,,,,,,2470,650,,70,60,18900,100,,,,48100,,250,3490,1350,3180,4160,,2070,24600,,200,244
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,3000,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,367,5000,35,,102,153,,,
Palestine,,,,,,,,,,,,,,943,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,2100,57,,,2120,,,,,,,173,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,1400,2360,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,1860
Peru,,,,,,,,26,,,,,,,,,,,230,,,293000,690,,,,,175,33800,,,,,,,,,,
Philippines,,,,,,,,756,17,,,,,,,,,,,,221,,70,,,,1700,,11200,412,665,,14,,130,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,4740,,,1,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,150000,,4540,,798,2940,,1,,,,,,
